"Group";"Group"
"Groups";"Groups"
"view";"view"
"View All Groups";"View All Groups"
"group";"group";"groups"
"%s group";"%s group";"%s groups"

"This group has %s member.";"This group has %s member.";"This group has %s members."

"Delete Group:";"Delete Group:"
"Create New Group";"Create New Group"
"Edit Group";"Edit Group"
"Delete Group";"Delete Group"
"Join Group";"Join Group"
"Leave Group";"Leave Group"

"%s member";"%s member";"%s members"
"led by";"led by"
"led by %1$s";"led by %1$s"

"You have no friends you can invite.";"You have no friends you can invite."

"Tip: %1$sClick here%2$s to create the first group!";"Tip: %1$sClick here%2$s to create the first group!"
"Tip: %1$sClick here%2$s to create a group or %3$sbrowse%2$s for groups to join!";"Tip: %1$sClick here%2$s to create a group or %3$sbrowse%2$s for groups to join!"

"Close";"Close"
"You have no friends you can invite.";"You have no friends you can invite."

"&#187; Photos";"&#187; Photos"
"Group Photos";"Group Photos"
"&#187;";"&#187;"
"Photos";"Photos"

"ADD TAG";"ADD TAG"
"Type a tag or select a name from the list.";"Type a tag or select a name from the list."

"Photo";"Photo"
"of";"of"

"Next";"Next"
"Prev";"Prev"

"By";"By"
"Tagged:";"Tagged:"
"Added";"Added"

"Add Tag";"Add Tag"

"Quote";"Quote"
"Edit";"Edit"
"Delete";"Delete"
"Share";"Share"
"Report";"Report"
"Make Profile Photo";"Make Profile Photo"

"%s total view";"%s total view";"%s total views"
"%s total member";"%s total member";"%s total members"
"Last updated %s";"Last updated %s"
"%s advgroup invite";"%s group invitation";"%s group invitations"

"This group has %s member waiting for approval or waiting for an invite response.";"This group has %s member waiting for approval or waiting for an invite response.";"This group has %s members waiting for approval or waiting for an invite response."

"&#187; Discussions";"&#187; Discussions"
"Discussions";"Discussions"
"Back to Group";"Back to Group"
"reply";"reply";"replies"

"view";"view";"views"
"Last Post";"Last Post"

"Back to Topics";"Back to Topics"
"Post Reply";"Post Reply"
"Make Sticky";"Make Sticky"
"Remove Sticky";"Remove Sticky"
"Open";"Open"
"Rename";"Rename"
"This topic has been closed.";"This topic has been closed."

"Join Group";"Join Group"
"or";"or"
"ignore request";"ignore request"

"Post New Topic";"Post New Topic"
"View All";"View All"

"Last Post";"Last Post"

"No topics have been posted in this group yet.";"No topics have been posted in this group yet."
"total views";"total views"
"total members";"total members"
"last updated";"last updated"

"Add Friend";"Add Friend"
"Remove Friend";"Remove Friend"
"Remove Member";"Remove Member"
"Approve Request";"Approve Request"
"Reject Request";"Reject Request"
"Cancel Invite";"Cancel Invite"
"Demote Officer";"Demote Officer"
"Make Officer";"Make Officer"

"Previous";"Previous"
"Next";"Next"
"Closed";"Closed"

"No photos have been uploaded to this group yet.";"No photos have been uploaded to this group yet."
"By";"By"

"View All Photos";"View All Photos"
"Upload Photos";"Upload Photos"

"The image you selected was too large.";"The image you selected was too large."
"Your changes have been saved.";"Your changes have been saved."

"You are now a member of this group.";"You are now a member of this group."
"You have successfully left this group.";"You have successfully left this group."

"Group membership request sent";"Your group membership request has been sent."
"Group membership request cancelled.";"Your group membership request has been cancelled."

"Invalid Data";"Invalid Data"
"Invalid Method";"Invalid Method"

"You have accepted the invite to the group %s";"You have accepted the invite to the group %s"
"You have ignored the invite to the group %s";"You have ignored the invite to the group %s"

"Member Promoted";"This member has been successfully promoted."
"Member Demoted";"This member has been successfully demoted."
"Group member removed.";"This member has been successfully removed from the group."
"Members invited";"The selected members have been successfully invited."

"Group request approved";"This member's group request has been approved."
"Member title changed";"This member's title has been successfully changed."

"Changes saved";"Your changes have been saved."
"Photo deleted";"The photo has been successfully deleted."

"Max file size limit exceeded (probably).";"Max file size limit exceeded (probably)."
"Invalid request method";"Invalid request method"
"No file";"No file"
"Invalid Upload";"Invalid Upload"
"An error occurred.";"An error occurred"

"Post deleted.";"The selected post has been deleted."
"This has been closed for posting.";"This topic is closed for posting."
"Topic renamed.";"The selected topic has been successfully renamed."
"Topic deleted.";"The selected topic has been deleted."

"All My Groups";"All My Groups"
"Only Groups I Lead";"Only Groups I Lead"
"Search:";"Search:"
"View:";"View:"

"Accept Group Invitation";"Accept Group Invitation"
"Would you like to join this group?";"Would you like to join this group?"
"Join Group";"Join Group"
"Cancel";"Cancel"

"Approve Group Membership Request";"Approve Group Membership Request"
"Would you like to approve the request for membership in this group?";"Would you like to approve the request for membership in this group?"
"Approve Request";"Approve Request"

"Cancel Group Membership Request";"Cancel Group Membership Request"
"Would you like to cancel your request for membership in this group?";"Would you like to cancel your request for membership in this group?"
"Cancel Request";"Cancel Request"

"Demote Member";"Demote Member"
"Are you sure you want to demote this member from officer?";"Are you sure you want to demote this member from officer?"

"Edit Member Title";"Edit Member Title"
"Enter a special title for this person.";"Enter a special title for this person."
"Title";"Title"
"Save Changes";"Save Changes"

"Join Group";"Join Group"
"Would you like to join this group?";"Would you like to join this group?"

"Leave Group";"Leave Group"
"Are you sure you want to leave this group?";"Are you sure you want to leave this group?"

"Promote Member";"Promote Member"
"Are you sure you want to promote this member to officer?";"Are you sure you want to promote this member to officer?"

"Reject Group Invitation";"Reject Group Invitation"
"Would you like to reject the invitation to this group?";"Would you like to reject the invitation to this group?"
"Reject Invitation";"Reject Invitation"

"Are you sure you want to remove this member from the group?";"Are you sure you want to remove this member from the group?"

"Request Group Membership";"Request Group Membership"
"Would you like to request membership in this group?";"Would you like to request membership in this group?"
"Send Request";"Send Request"

"Delete Group Photo";"Delete Group Photo"
"Are you sure you want to delete this photo?";"Are you sure you want to delete this photo?"
"Delete Photo";"Delete Photo"

"Edit Photo";"Edit Photo"
"Title";"Title"
"Description";"Description"

"Group Info";"Group Info"
"Edit Group Details";"Edit Group Details"
"Edit Group Style";"Edit Group Style"
"Share Group";"Share Group"
"Add Events";"Add Events"
"No events have been added to this group yet.";"No events have been added to this group yet."

"Add New Photos";"Add New Photos"
"Choose photos on your computer to add to this album. (2MB maximum)";"Choose photos on your computer to add to this album. (2MB maximum)"
"Save Photos";"Save Photos"

"Reply";"Reply"
"Body";"Body"
"Delete Post";"Delete Post"
"Are you sure you want to delete this post?";"Are you sure you want to delete this post?"

"Edit Post";"Edit Post"

"Post Discussion Topic";"Post Discussion Topic"
"Message";"Message"

"Delete Topic";"Delete Topic"
"Are you sure you want to delete this topic?";"Are you sure you want to delete this topic?"

"Rename Topic";"Rename Topic"
"Are you sure you want to delete this group?";"Are you sure you want to delete this group?"

"Group Name";"Group Name"
"Profile Photo";"Profile Photo"
"Category";"Category"

"Include in search results?";"Include in search results?"
"Yes, include in search results.";"Yes, include in search results."
"No, hide from search results.";"No, hide from search results."

"Let members invite others?";"Let members invite others?"
"Yes, members can invite other people.";"Yes, members can invite other people."
"No, only officers can invite other people.";"No, only officers can invite other people."

"Approve members?";"Approve members?"
"When people try to join this group, should they be allowed to join immediately, or should they be forced to wait for approval?";"When people try to join this group, should they be allowed to join immediately, or should they be forced to wait for approval?"
"New members can join immediately.";"New members can join immediately."
"New members must be approved.";"New members must be approved."

"View Privacy";"View Privacy"
"Who may see this group?";"Who may see this group?"
#"Everyone";"Everyone"
"Registered Members";"Registered Members"
"Members, Officers, and Owner";"Members, Officers, and Owner"

"Comment Privacy";"Comment Privacy"
"Who may post on this group's wall?";"Who may post on this group's wall?"
"Members, Officers, and Owner";"Members, Officers, and Owner"
"Officers and Owner Only";"Officers and Owner Only"

"Photo Uploads";"Photo Uploads"
"Who may upload photos to this group?";"Who may upload photos to this group?"
"Members, Officers, and Owner Only";"Members, Officers, and Owner Only"
"Officers and Owner Only";"Officers and Owner Only"

"Event Creation";"Event Creation"
"Who may create events for this group?";"Who may create events for this group?"

"Invite Members";"Invite Members"
"Choose the people you want to invite to this group.";"Choose the people you want to invite to this group."
"Members";"Members"
"Choose All Friends";"Choose All Friends"
"Send Invites";"Send Invites"

"Group Styles";"Group Styles"
"Custom Group Styles";"Custom Group Styles"
"You can change the colors, fonts, and styles of your group by adding CSS code below. The contents of the text area below will be output between <style> tags on your group.";"You can change the colors, fonts, and styles of your group by adding CSS code below. The contents of the text area below will be output between <style> tags on your group."

"%1$s has invited you to the group %2$s";"%1$s has invited you to the group %2$s"

"This group has %1$s member.";"This group has %1$s member.";"This group has %1$s members."
"This group has %1$s member that matched the query ""%2$s"".";"This group has %1$s member that matched the query ""%2$s"".";"This group has %1$s members that matched the query ""%2$s""."

"See Waiting";"View invited users and users waiting for approval/rejection"
"View all approved members";"View all approved members"

"This group has %s member waiting approval or waiting for a invite response.";"This group has %s member waiting approval or waiting for a invite response."
"Send me notifications when other members reply to this topic.";"Send me notifications when other members reply to this topic."

"ADMIN_ACTIVITY_TYPE_ADVGROUP_CREATE";"When a user (subject) creates a new group (object)."
"ADMIN_ACTIVITY_TYPE_ADVGROUP_JOIN";"When a user (subject) joins a group (object)."
"ADMIN_ACTIVITY_TYPE_ADVGROUP_PHOTO_UPLOAD";"When a user (subject) uploads a new photo to a group (object)."
"ADMIN_ACTIVITY_TYPE_ADVGROUP_PROMOTE";"When a user (subject) is given officer status in a group (object)."
"ADMIN_ACTIVITY_TYPE_ADVGROUP_TOPIC_CREATE";"When a user (subject) creates a new topic in a group (object)."
"ADMIN_ACTIVITY_TYPE_ADVGROUP_TOPIC_REPLY";"When a user (subject) replies to a topic in a group (object)."
"ADMIN_ACTIVITY_TYPE_ADVGROUP_POLL_NEW";"When a user (subject) creates a new poll in a group (object)."

"_ACTIVITY_ACTIONTYPE_ADVGROUP_CREATE";"New groups"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_JOIN";"Joining a group"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_PHOTO_UPLOAD";"Uploading a group photo"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_ALBUM_UPLOAD";"Uploading a group album"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_PROMOTE";"Group promotions"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_TOPIC_CREATE";"Creating a group discussion topic"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_TOPIC_REPLY";"Replying to a group discussion topic"

"ACTIVITY_TYPE_COMMENTED_ADVGROUP";"When someone comments on a group I commented on."
"ACTIVITY_TYPE_COMMENT_ADVGROUP";"When someone comments on one of my groups."
"ACTIVITY_TYPE_LIKED_ADVGROUP";"When someone comments on a group I liked."
"ACTIVITY_TYPE_LIKE_ADVGROUP";"When someone likes one of my groups."
"ACTIVITY_TYPE_ADVGROUP_APPROVE";"When someone requests to join a group I created."
"ACTIVITY_TYPE_ADVGROUP_ACCEPTED";"When my request to join a group is approved."
"ACTIVITY_TYPE_ADVGROUP_CREATE";"When a new group is created."
"ACTIVITY_TYPE_ADVGROUP_DISCUSSION_REPLY";"When people reply to discussion topics that I've replied to."
"ACTIVITY_TYPE_ADVGROUP_DISCUSSION_RESPONSE";"When people reply to discussion topics that I create."
"ACTIVITY_TYPE_ADVGROUP_INVITE";"When I'm invited to join a group."
"ACTIVITY_TYPE_ADVGROUP_JOIN";"When a new member joins a group."
"ACTIVITY_TYPE_ADVGROUP_PHOTO_UPLOAD";"When a new photo is uploaded to a group."
"ACTIVITY_TYPE_ADVGROUP_PROMOTE";"When I'm given officer status in a group."
"ACTIVITY_TYPE_ADVGROUP_TOPIC_CREATE";"When a new group topic is created."
"ACTIVITY_TYPE_ADVGROUP_TOPIC_REPLY";"When someone replies to a group topic."

"These settings affect all members in your community.";"These settings affect all members in your community."
"GROUP_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."

"Allow Viewing of Groups?";"Allow Viewing of Groups?"
"GROUP_FORM_ADMIN_LEVEL_VIEW_DESCRIPTION";"Do you want to let users view groups? If set to no, some other settings on this page may not apply."
"No, do not allow groups to be viewed.";"No, do not allow groups to be viewed."
"Yes, allow viewing and subscription of groups.";"Yes, allow viewing and subscription of groups."
"Yes, allow members to view all groups, even private ones.";"Yes, allow members to view all groups, even private ones."

"Allow Creation of Groups?";"Allow Creation of Groups?"
"GROUP_FORM_ADMIN_LEVEL_CREATE_DESCRIPTION";"Do you want to let users create groups? If set to no, some other settings on this page may not apply. This is useful if you want users to be able to view groups and manage their subscriptions, but only want certain levels to be able to create groups."
"No, do not allow groups to be created.";"No, do not allow groups to be created."
"Yes, allow creation of groups.";"Yes, allow creation of groups."

"Allow Editing of Groups?";"Allow Editing of Groups?"
"Do you want to let users edit and delete groups?";"Do you want to let users edit and delete groups?"
"No, do not allow groups to be edited.";"No, do not allow groups to be edited."
"Yes, allow  members to edit their own groups.";"Yes, allow  members to edit their own groups."
"Yes, allow members to edit everyone's groups.";"Yes, allow members to edit everyone's groups."

"Group Privacy";"Group Privacy"
"GROUP_FORM_ADMIN_LEVEL_AUTHVIEW_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can see their group. If you do not check any options, everyone will be allowed to view groups."

"GROUP_FIELDS_VIEWS_SCRIPTS_ADMINFIELDS_DESCRIPTION";"Your members will be asked to provide some information about their group information when creating a new group. Create some group questions that allow them to describe their group in a way that relates to the theme of your community. To reorder the group questions, click on their names and drag them up or down."

"Group Posting Options";"Group Posting Options"
"GROUP_FORM_ADMIN_LEVEL_AUTHCOMMENT_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can post to their group discussions. If you do not check any options, everyone will be allowed to post."
"Registered Members";"Registered Members"
"Members, Officers, and Owner";"Members, Officers, and Owner"
"Officers and Owner Only";"Officers and Owner Only"
"Owner Only";"Owner Only"

"Photo Upload Options";"Photo Upload Options"
"GROUP_FORM_ADMIN_LEVEL_AUTHPHOTO_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can upload photos to their groups. If you do not check any options, all members will be allowed to upload."

"Event Creation Options";"Event Creation Options"
"GROUP_FORM_ADMIN_LEVEL_AUTHEVENT_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can create events in their groups. If you do not check any options, all members will be allowed to create events."

"Poll Creation Options";"Poll Creation Options"
"GROUP_FORM_ADMIN_LEVEL_AUTHPOLL_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can create polls in their groups. If you do not check any options, all members will be allowed to create polls."
"My Groups";"My Groups"

"Delete Group?";"Delete Group?"
"Are you sure that you want to delete this group? It will not be recoverable after being deleted.";"Are you sure that you want to delete this group? It will not be recoverable after being deleted."

"Are you sure you want to delete the selected groups?";"Are you sure you want to delete the selected groups?"
"GROUP_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"This page lists all of the group entries your users have posted. You can use this page to monitor these groups and delete offensive material if necessary. Entering criteria into the filter fields will help you find specific group entries. Leaving the filter fields blank will show all the group entries on your social network."
"GROUP_VIEWS_SCRIPTS_ADMINSETTINGS_CATEGORIES_DESCRIPTION";"If you want to allow your users to categorize their groups, create the categories below. This feature is useful if you want to list all your users' group that If you have no categories, your users will not be given the option of assigning a group category."

"There are currently no categories.";"There are currently no categories."

"Delete Group Category?"
"Are you sure that you want to delete this category? It will not be recoverable after being deleted."

"Search Members";"Search Members"
"owner";"owner"
"officer";"officer"

"Browse Groups";"Browse Groups"
"All Group Members";"All Group Members"

"Groups Plugin";"Groups Plugin"
"Manage Groups";"Manage Groups"
"Allow Deletion of Groups?";"Allow Deletion of Groups?"
"Do you want to let members delete groups? If set to no, some other settings on this page may not apply.";"Do you want to let members delete groups? If set to no, some other settings on this page may not apply."
"Yes, allow members to delete their own groups.";"Yes, allow members to delete their own groups."
"No, do not allow members to delete their groups.";"No, do not allow members to delete their groups."
"Allow Commenting on Groups?";"Allow Commenting on Groups?"
"Do you want to let members of this level comment on groups?";"Do you want to let members of this level comment on groups?"
"Yes, allow members to comment on groups.";"Yes, allow members to comment on groups."
"No, do not allow members to comment on groups.";"No, do not allow members to comment on groups."

"Group Profile Discussions";"Group Profile Discussions"
"Group Profile Events";"Group Profile Events"
"Group Profile Info";"Group Profile Info"
"Group Profile Members";"Group Profile Members"
"Group Profile Options";"Group Profile Options"
"Group Profile Photo";"Group Profile Photo"
"Group Profile Photos";"Group Profile Photos"
"Group Profile Status";"Group Profile Status"
"Profile Groups";"Profile Groups"


# categories
"Animals";"Animals"
"Business & Finance";"Business & Finance"
"Computers & Internet";"Computers & Internet"
"Cultures & Community";"Cultures & Community"
"Dating & Relationships";"Dating & Relationships"
"Entertainment & Arts";"Entertainment & Arts"
"Family & Home";"Family & Home"
"Games";"Games"
"Government & Politics";"Government & Politics"
"Health & Wellness";"Health & Wellness"
"Hobbies & Crafts";"Hobbies & Crafts"
"Music";"Music"
"Recreation & Sports";"Recreation & Sports"
"Regional";"Regional"
"Religion & Beliefs";"Religion & Beliefs"
"Schools & Education";"Schools & Education"
"Science";"Science"


# item types
"ITEM_TYPE_ADVGROUP_GROUP";"Groups"
"ITEM_TYPE_ADVGROUP_ALBUM";"Group Albums"
"ITEM_TYPE_ADVGROUP_LINK";"Group Useful Links"
"ITEM_TYPE_ADVGROUP_ANNOUNCEMENT";"Group Announcements"
"ITEM_TYPE_ADVGROUP_PHOTO";"Group Photos"
"ITEM_TYPE_ADVGROUP_TOPIC";"Group Discussion Topic"
"ITEM_TYPE_ADVGROUP_POST";"Group Discussion Post"
"ITEM_TYPE_ADVGROUP_POLL";"Group Polls"


# action types
"{item:$subject} created a new group:";"{item:$subject} created a new group:"
"{item:$subject} joined the group {item:$object}";"{item:$subject} joined the group {item:$object}"
"{item:$subject} added {var:$count} photo(s).";"{item:$subject} added {var:$count} photo(s)."
"{item:$subject} has been made an officer for the group {item:$object}";"{item:$subject} has been made an officer for the group {item:$object}"
"{item:$subject} posted a {item:$object:topic} in the group {itemParent:$object:group}: {body:$body}";"{item:$subject} posted a {item:$object:topic} in the group {itemParent:$object:group}: {body:$body}"
"{item:$subject} replied to a {item:$object:topic} in the group {itemParent:$object:group}: {body:$body}";"{item:$subject} replied to a {item:$object:topic} in the group {itemParent:$object:group}: {body:$body}"


# notification types
"{item:$subject} has {item:$object:posted} on a {itemParent:$object::group topic} you created.";"{item:$subject} has {item:$object:posted} on a {itemParent:$object::group topic} you created."
"{item:$subject} has {item:$object:posted} on a {itemParent:$object::group topic} you posted on.";"{item:$subject} has {item:$object:posted} on a {itemParent:$object::group topic} you posted on."
"{item:$subject} has invited you to the group {item:$object}.";"{item:$subject} has invited you to the group {item:$object}."
"{item:$subject} has requested to join the group {item:$object}.";"{item:$subject} has requested to join the group {item:$object}."
"Your request to join the group {item:$subject} has been approved.";"Your request to join the group {item:$subject} has been approved."
"You were promoted to officer in the group {item:$object}.";"You were promoted to officer in the group {item:$object}."


# mail templates

# notify_advgroup_accepted
"_EMAIL_NOTIFY_ADVGROUP_ACCEPTED_TITLE";"Group Approved"
"_EMAIL_NOTIFY_ADVGROUP_ACCEPTED_DESCRIPTION";"This email is sent to the member when they are approved to join a group."
"_EMAIL_NOTIFY_ADVGROUP_ACCEPTED_SUBJECT";"You have been approved to join the group [object_title]"
"_EMAIL_NOTIFY_ADVGROUP_ACCEPTED_BODY";"[header]

You have been approved to join the group ""[object_title]"". Please click the following link to view it:

http://[host][object_link]

[footer]"

# notify_advgroup_approve
"_EMAIL_NOTIFY_ADVGROUP_APPROVE_TITLE";"Group Request"
"_EMAIL_NOTIFY_ADVGROUP_APPROVE_DESCRIPTION";"This email is sent to the member when someone requests to join their group."
"_EMAIL_NOTIFY_ADVGROUP_APPROVE_SUBJECT";"[sender_title] has requested to join the group [object_title]"
"_EMAIL_NOTIFY_ADVGROUP_APPROVE_BODY";"[header]

[sender_title] has requested to join the group ""[object_title]"". Please click the following link to view it:

http://[host][object_link]

[footer]"

# notify_advgroup_discussion_reply
"_EMAIL_NOTIFY_ADVGROUP_DISCUSSION_REPLY_TITLE";"Group Discussion Reply"
"_EMAIL_NOTIFY_ADVGROUP_DISCUSSION_REPLY_DESCRIPTION";"This email is sent to the member when people reply to discussion topics that the member created."
"_EMAIL_NOTIFY_ADVGROUP_DISCUSSION_REPLY_SUBJECT";"A member has posted a reply to your topic ""[object_title]"" in the group ""[object_parent_title]"""
"_EMAIL_NOTIFY_ADVGROUP_DISCUSSION_REPLY_BODY";"[header]

[sender_title] has posted a reply to your topic ""[object_title]"" in the group ""[object_parent_title]"":

""[message]""

Please click the following link to view it:

http://[host][object_link]

[footer]"

# notify_advgroup_discussion_response
"_EMAIL_NOTIFY_ADVGROUP_DISCUSSION_RESPONSE_TITLE";"Group Discussion Response"
"_EMAIL_NOTIFY_ADVGROUP_DISCUSSION_RESPONSE_DESCRIPTION";"This email is sent to the member when people reply to discussion topics that the member replied to."
"_EMAIL_NOTIFY_ADVGROUP_DISCUSSION_RESPONSE_SUBJECT";"A member has posted a reply to the topic ""[object_title]"" you replied to in the group ""[object_parent_title]"""
"_EMAIL_NOTIFY_ADVGROUP_DISCUSSION_RESPONSE_BODY";"[header]

[sender_title] has posted a reply to the topic ""[object_title]"" you replied to in the group ""[object_parent_title]"":

""[message]""

Please click the following link to view it:

http://[host][object_link]

[footer]"

# notify_advgroup_invite
"_EMAIL_NOTIFY_ADVGROUP_INVITE_TITLE";"Group Invitation"
"_EMAIL_NOTIFY_ADVGROUP_INVITE_DESCRIPTION";"This email is sent to the member when they are invited to a group."
"_EMAIL_NOTIFY_ADVGROUP_INVITE_SUBJECT";"You have been invited to join the group [object_title]"
"_EMAIL_NOTIFY_ADVGROUP_INVITE_BODY";"[header]

You have been invited to join the group ""[object_title]"". Please click the following link to view it:

http://[host][object_link]

[footer]"

# notify_advgroup_promote
"_EMAIL_NOTIFY_ADVGROUP_PROMOTE_TITLE";"Group Promotion"
"_EMAIL_NOTIFY_ADVGROUP_PROMOTE_DESCRIPTION";"This email is sent when a member is promoted to officer in a group."
"_EMAIL_NOTIFY_ADVGROUP_PROMOTE_SUBJECT";"You have been promoted to officer in the group [object_title]"
"_EMAIL_NOTIFY_ADVGROUP_PROMOTE_BODY";"[header]

You have been promoted to officer in the group ""[object_title]"". Please click the following link to view it:

http://[host][object_link]

[footer]"

# notify_advgroup_invite_nonmembers
"_EMAIL_NOTIFY_ADVGROUP_INVITE_NONMEMBERS_TITLE";"Group Invitation Non-Members"
"_EMAIL_NOTIFY_ADVGROUP_INVITE_NONMEMBERS_DESCRIPTION";"This is the email that gets sent when members invite their friends to join during the signup process."
"_EMAIL_NOTIFY_ADVGROUP_INVITE_NONMEMBERS_SUBJECT";"You have received an invitation to join our social network and the group [group_title]!"
"_EMAIL_NOTIFY_ADVGROUP_INVITE_NONMEMBERS_BODY";"
[message]

To join, please follow the link below:

[object_link]

[footer]"

"All categories";"All categories"
"Everyone's Groups";"Everyone's Groups"
"Only my friends' group";"Only my friends' group"
"list by";"list by"
"Recently created";"Recently created"

"Message Members";"Message Members"

"The changes to your post have been saved.";"The changes to your post have been saved."

"You have not joined any groups yet.";"You have not joined any groups yet."
"There are no groups yet.";"There are no groups yet."
"Why don't you %1$screate one%2$s?";"Why don't you %1$screate one%2$s?"

"Group doesn't exists or not authorized to delete";"Group doesn't exists or not authorized to delete"
"The selected group has been deleted.";"The selected group has been deleted."

"Watch Topic";"Watch Topic"
"Stop Watching Topic";"Stop Watching Topic"

"Manage Announcements";"Manage Announcements"
"ANNOUNCEMENT_VIEW_SCRIPTS_ADMINMANAGE_DESCRIPTION";"Announcements are a great way to keep your members engaged in the community. Announcements appear inside the ""Announcement Widget"", which you can place anywhere on your site. By default, this widget appears at the top of the member homepage - this way, members see your announcements right when they sign in. You can move this widget elsewhere or change its settings in the <a href='%s'>Layout Editor</a>."
"There are currently no announcements.";"There are currently no announcements."
"Post New Announcement";"Post New Announcement"
"Please compose your new announcement below.";"Please compose your new announcement below."
"Post Announcement";"Post Announcement"
"Edit Announcement";"Edit Announcement"
"Posted by %1$s %2$s";"Posted by %1$s %2$s"
"Please modifiy your announcement below.";"Please modifiy your announcement below."
" or ";" or "
"Delete Announcement?";"Delete Announcement?"
"Are you sure that you want to delete this announcement? It will not be recoverable after being deleted.";"Are you sure that you want to delete this announcement? It will not be recoverable after being deleted."
"edit";"edit"
"Title";"Title"
"Author";"Author"
"ID";"ID"
"Login ID";"Login ID"
"%d announcements total";"%d announcements total"
"Are you sure that you want to delete the %d announcements? It will not be recoverable after being deleted.";"Are you sure that you want to delete the %d announcements? It will not be recoverable after being deleted."
"Delete the selected announcements?";"Delete the selected announcements?"
"Please select an announcement to delete.";"Please select an announcement to delete."